Insee - Statistiques locales; ; 
Référentiel géographique : France par intercommunalité; ; 
Code;Libellé;Densité de population (historique depuis 1876) 2018
200070159;CC Cœur de Beauce;25.5
200070167;CC Terres de Perche;38.8
200070183;CC des Terres du Val de Loire;74
200070233;CA Terres de Montaigu;128.7
200070282;CC Lavalette Tude Dronne;23.6
200070290;CC Coeur du Pays Haut;110.5
200070308;CA Mâconnais Beaujolais Agglomération;261.4
200070316;CC Entre Arroux, Loire et Somme;26
200070324;CC du Territoire de Lunéville à Baccarat;91
200070332;CC des Savoir-Faire;19
200070340;CC Haute Maurienne Vanoise;10.1
200070365;CC Corbières Salanque Méditerranée;40.4
200070373;CC Loir-Lucé-Bercé;44.4
200070407;CA Agglo Pays d'Issoire;55.7
200070431;CC Saint-Marcellin Vercors Isère Communauté;74.4
200070449;CC Inter-Caux-Vexin;101.3
200070464;CC Cœur de Maurienne Arvan;41
200070506;CC Pays de Nexon Monts de Chalus;33
200070514;CA du Grand Cognac;91.9
200070530;CC du Grand Autunois Morvan;28.4
200070548;CC Brionnais Sud Bourgogne;52
200070555;CC de la Veyle;106.9
200070563;CC Terres Touloises;94.7
200070571;CC Cœur de Berry;33.3
200070589;CC de Seille et Grand Couronné;54.3
200070647;CA Bergeracoise;103.3
200070662;CC Bretagne porte de Loire Communauté;69.6
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;73.2
200070688;CC Couesnon Marches de Bretagne;55.3
200070712;CC Thiers Dore et Montagne;59.6
200070720;CC Médoc Atlantique;25.8
200070738;CC Mad et Moselle;42.7
200070746;CA Sarreguemines Confluences;190.2
200070753;CA Riom Limagne et Volcans;167.1
200070761;CC Ambert Livradois Forez;22.4
200070779;CC Brie des Rivières et Châteaux;107.7
200070787;CC du Plateau de Lannemezan;41.3
200070795;CC du Pays de Trie et du Magnoac;20.9
200070803;CC des Coteaux du Val d'Arros;42.6
200070811;CC Pyrénées Vallées des Gaves;15.4
200070829;CC Neste Barousse;23.9
200070845;CC Orne Lorraine Confluences;135.1
200070852;CC Usses et Rhône;75.7
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;60.3
200070902;CC Auxonne Pontailler Val de Saône;60.8
200070910;CC Tille et Venelle;15.9
200070928;CC Terre de Picardie;61.8
200070936;CC Ponthieu-Marquenterre;42.2
200070944;CC du Vimeu;119.3
200070951;CC du Territoire Nord Picardie;58.1
200070969;CC Avre Luce Noye;56.7
200070977;CC du Grand Roye;64.6
200070985;CC de l'Est de la Somme;76.7
200070993;CA de la Baie de Somme;122.7
200071017;CC des Terres d'Auxois;20.5
200071025;CC Haute-Provence-Pays de Banon;20.5
200071033;CC Jabron-Lure-Vançon-Durance;17.1
200071041;CC du Chaourçois et du Val d'Armance;17.8
200071058;CC Les Avant-Monts;76.8
200071066;CA de Saint-Dié-des-Vosges;76.5
